"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 11:46:32 CST 2025","Sat Aug 30 11:46:37 CST 2025","4911","testcase.user_mag","test_invite_user","TestUserManage","","","批量邀请用户",""
"passed","Sat Aug 30 11:45:57 CST 2025","Sat Aug 30 11:46:06 CST 2025","9061","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","修改部门成员",""
"passed","Sat Aug 30 11:45:52 CST 2025","Sat Aug 30 11:45:56 CST 2025","4418","testcase.user_mag","test_role_manage","TestRoleManage","","","删除角色",""
"passed","Sat Aug 30 11:46:08 CST 2025","Sat Aug 30 11:46:15 CST 2025","7345","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","删除部门成员    ",""
"passed","Sat Aug 30 11:45:58 CST 2025","Sat Aug 30 11:46:05 CST 2025","7063","testcase.cop_operate","test_operate_unit","TestOperateUnit","","","新增公司",""
"passed","Sat Aug 30 11:46:12 CST 2025","Sat Aug 30 11:46:18 CST 2025","5538","testcase","test_login","TestLogin","","","test_login[login_success]",""
"passed","Sat Aug 30 11:45:01 CST 2025","Sat Aug 30 11:45:06 CST 2025","5021","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","批量新增企业用户",""
"passed","Sat Aug 30 11:44:58 CST 2025","Sat Aug 30 11:45:05 CST 2025","6717","testcase.cop_operate","test_func_main","TestFuncMain","","","修改职能",""
"passed","Sat Aug 30 11:46:02 CST 2025","Sat Aug 30 11:46:09 CST 2025","7065","testcase.cop_operate","test_title_main","TestTitleMain","","","新增职称",""
"passed","Sat Aug 30 11:46:26 CST 2025","Sat Aug 30 11:46:34 CST 2025","8280","testcase.user_mag","test_server_auth","TestServerAuth","","","产生服务授权码",""
"passed","Sat Aug 30 11:44:48 CST 2025","Sat Aug 30 11:45:01 CST 2025","13106","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","新增部门",""
"passed","Sat Aug 30 11:46:17 CST 2025","Sat Aug 30 11:46:25 CST 2025","8554","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","新增人员核决层级",""
"passed","Sat Aug 30 11:45:08 CST 2025","Sat Aug 30 11:45:10 CST 2025","2588","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","搜索企业用户",""
"passed","Sat Aug 30 11:46:06 CST 2025","Sat Aug 30 11:46:12 CST 2025","6024","testcase.cop_operate","test_operate_unit","TestOperateUnit","","","修改公司",""
"passed","Sat Aug 30 11:46:10 CST 2025","Sat Aug 30 11:46:17 CST 2025","6335","testcase.cop_operate","test_title_main","TestTitleMain","","","新增职称",""
"passed","Sat Aug 30 11:45:11 CST 2025","Sat Aug 30 11:45:15 CST 2025","3637","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","停用员工",""
"passed","Sat Aug 30 11:45:38 CST 2025","Sat Aug 30 11:45:43 CST 2025","4963","testcase.user_mag","test_role_manage","TestRoleManage","","","批量新增角色",""
"passed","Sat Aug 30 11:44:50 CST 2025","Sat Aug 30 11:44:56 CST 2025","6760","testcase.cop_operate","test_func_main","TestFuncMain","","","新增职能",""
"passed","Sat Aug 30 11:45:33 CST 2025","Sat Aug 30 11:45:39 CST 2025","6003","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","删除子部门",""
"passed","Sat Aug 30 11:45:26 CST 2025","Sat Aug 30 11:45:36 CST 2025","9377","testcase.cop_operate","test_field_manage","TestFieldManage","","","新增场域",""
"passed","Sat Aug 30 11:45:33 CST 2025","Sat Aug 30 11:45:42 CST 2025","9346","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","删除企业用户",""
"passed","Sat Aug 30 11:46:22 CST 2025","Sat Aug 30 11:46:27 CST 2025","4743","testcase","test_login","TestLogin","","","test_login[login_password_error]",""
"passed","Sat Aug 30 11:45:12 CST 2025","Sat Aug 30 11:45:18 CST 2025","6129","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","编辑企业用户",""
"passed","Sat Aug 30 11:45:13 CST 2025","Sat Aug 30 11:45:18 CST 2025","4623","testcase.cop_operate","test_func_main","TestFuncMain","","","启用职能",""
"passed","Sat Aug 30 11:46:05 CST 2025","Sat Aug 30 11:46:10 CST 2025","4441","testcase.user_mag","test_user_group","TestUserGroup","","","删除用户群组",""
"passed","Sat Aug 30 11:45:43 CST 2025","Sat Aug 30 11:45:49 CST 2025","5342","testcase.user_mag","test_user_group","TestUserGroup","","","新增用户群组",""
"passed","Sat Aug 30 11:45:16 CST 2025","Sat Aug 30 11:45:20 CST 2025","3698","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","启用员工",""
"passed","Sat Aug 30 11:45:03 CST 2025","Sat Aug 30 11:45:09 CST 2025","6931","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","修改员工",""
